symbol_id,cat_id
12573,1217
12574,1217
12575,1217
12576,1217
12577,1217
12578,1217
12579,1217
12580,1218
12581,1218
12581,1219
12582,1217
12583,1217
12584,1217
12585,1217
12586,1217
12587,1219
12588,1217
12589,1217
12590,1217
12591,1217
12592,1217
12593,1217
12594,1219
12595,1219
12596,1219
12597,1217
12598,1217
12599,1217
12600,1217
12601,1217
12602,1217
12603,1217
12604,1220
12605,1217
12606,1217
12607,1217
12608,1217
12608,1220
12609,1221
12609,1217
12610,1218
12611,1218
12612,1222
12613,1218
12614,1217
12615,1217
12616,1220
12617,1217
12618,1217
12619,1217
12620,1217
12621,1217
12622,1217
12623,1220
12624,1217
12625,1219
12626,1217
12627,1217
12628,1220
12629,1217
12630,1217
12631,1217
12632,1220
12633,1217
12634,1217
12635,1217
12636,1219
12637,1219
12638,1219
12639,1217
12639,1221
12640,1219
12641,1223
12642,1224
12642,1225
12643,1224
12643,1225
12644,1221
12644,1225
12644,1226
12644,1227
12644,1228
12645,1221
12645,1225
12645,1226
12645,1227
12645,1228
12646,1224
12646,1229
12647,1224
12647,1229
12648,1226
12648,1227
12648,1228
12648,1223
12649,1226
12649,1227
12649,1228
12649,1223
12650,1224
12651,1224
12652,1224
12652,1230
12653,1224
12653,1230
12654,1224
12654,1225
12655,1224
12655,1225
12656,1224
12656,1226
12656,1227
12656,1228
12656,1221
12656,1223
12657,1224
12657,1226
12657,1227
12657,1228
12657,1225
12657,1221
12657,1223
12658,1224
12659,1224
12660,1224
12661,1224
12662,1225
12663,1225
12664,1226
12664,1227
12664,1228
12664,1225
12664,1221
12665,1226
12665,1227
12665,1228
12665,1225
12665,1221
12666,1224
12666,1229
12667,1224
12667,1229
12668,1224
12669,1224
12670,1221
12671,1221
12672,1225
12673,1225
12674,1226
12674,1227
12674,1228
12674,1225
12674,1221
12674,1231
12675,1226
12675,1227
12675,1228
12675,1225
12675,1221
12675,1231
12676,1226
12676,1227
12676,1228
12676,1224
12677,1226
12677,1227
12677,1228
12677,1224
12678,1230
12678,1223
12679,1230
12679,1223
12680,1219
12681,1224
12681,1225
12682,1224
12682,1225
12683,1226
12683,1227
12683,1228
12683,1225
12683,1221
12684,1226
12684,1227
12684,1228
12684,1225
12684,1221
12685,1224
12686,1224
12687,1223
12687,1230
12687,1224
12687,1221
12688,1230
12688,1224
12688,1221
12688,1223
12689,1226
12689,1227
12689,1228
12690,1226
12690,1227
12690,1228
12691,1229
12692,1229
12693,1226
12693,1227
12693,1228
12693,1231
12694,1226
12694,1227
12694,1228
12694,1231
12695,1231
12696,1231
12697,1226
12697,1227
12697,1228
12698,1226
12698,1227
12698,1228
12699,1226
12699,1227
12699,1228
12700,1226
12700,1227
12700,1228
12700,1231
12701,1226
12701,1227
12701,1228
12701,1231
12702,1226
12702,1227
12702,1228
12703,1226
12703,1227
12703,1228
12704,1230
12705,1230
12706,1230
12707,1226
12707,1227
12707,1228
12708,1226
12708,1227
12708,1228
12709,1231
12710,1231
12711,1231
12712,1231
12713,1226
12713,1227
12713,1228
12714,1226
12714,1227
12714,1228
12715,1224
12716,1224
12717,1226
12717,1227
12717,1228
12718,1226
12718,1227
12718,1228
12719,1226
12719,1227
12719,1228
12720,1226
12720,1227
12720,1228
12721,1231
12722,1231
12723,1230
12723,1229
12724,1230
12724,1229
12725,1226
12725,1227
12725,1228
12726,1226
12726,1227
12726,1228
12727,1229
12728,1229
12729,1226
12729,1227
12729,1228
12730,1226
12730,1227
12730,1228
12731,1226
12731,1227
12731,1228
12732,1231
12733,1231
12734,1231
12735,1231
12736,1226
12736,1227
12736,1228
12737,1226
12737,1227
12737,1228
12738,1219
12739,1229
12740,1229
12741,1229
12742,1229
12743,1220
12744,1220
12745,1220
12746,1220
12747,1220
12748,1220
12749,1220
12750,1232
12751,1232
12752,1232
12753,1232
12754,1232
12755,1232
12756,1232
12757,1232
12758,1232
12759,1232
12760,1232
12761,1232
12762,1232
12763,1232
12764,1232
12765,1232
12766,1232
12767,1232
12768,1232
12769,1232
12770,1232
12771,1232
12772,1232
12773,1232
12774,1232
12775,1232
12776,1232
12777,1232
12778,1232
12779,1232
12780,1232
12781,1232
12782,1232
12783,1232
12784,1232
12785,1232
12786,1232
12787,1232
12788,1232
12789,1232
12790,1232
12791,1232
12792,1232
12793,1232
12794,1232
12795,1232
12796,1232
12797,1232
12798,1232
12799,1233
12800,1233
12801,1233
12802,1233
12803,1233
12804,1233
12805,1233
12806,1233
12807,1233
12808,1233
12809,1233
12810,1233
12811,1233
12812,1233
12813,1233
12814,1233
12815,1233
12816,1233
12817,1233
12818,1233
12819,1233
12820,1233
12821,1233
12822,1233
12823,1233
12824,1233
12825,1233
12826,1233
12827,1233
12828,1233
12829,1233
12830,1233
12831,1233
12832,1233
12833,1233
12834,1233
12835,1233
12836,1233
12837,1233
12838,1233
12839,1233
12840,1233
12841,1233
12842,1233
12843,1233
12844,1233
12845,1233
12846,1233
12847,1233
12848,1233
12849,1233
12850,1233
12851,1233
12852,1233
12853,1233
12854,1233
12855,1233
12856,1233
12857,1233
12858,1233
12859,1233
12860,1233
12861,1233
12862,1233
12863,1217
12864,1217
12865,1217
12866,1217
12867,1217
12868,1217
12869,1217
12870,1217
12871,1217
12872,1217
12873,1217
12874,1217
12875,1217
12876,1217
12877,1219
12877,1218
12878,1217
12879,1217
12880,1217
12881,1217
12882,1219
12883,1217
12884,1224
12884,1218
12885,1218
12885,1225
12886,1221
12886,1218
12887,1224
12887,1225
12887,1221
12887,1218
12888,1217
12889,1217
12890,1217
12891,1219
12892,1219
12893,1219
12894,1219
12895,1217
12896,1217
12897,1217
12898,1217
12899,1219
12900,1219
12901,1219
12902,1219
12903,1219
12904,1219
12905,1219
12906,1219
12907,1219
12908,1219
12909,1219
12910,1219
12911,1219
12912,1219
12913,1219
12914,1219
12915,1217
12916,1217
12917,1217
12918,1217
12919,1217
12920,1217
12921,1217
12922,1217
12923,1217
12924,1217
12925,1217
12926,1234
